cause_medium,region_name,year,age_name,sex_name,death_abs,death_rate,YLL_abs,YLL_rate,YLD_abs,YLD_rate,DALY_abs,DALY_rate
Tuberculosis,Eastern sub-Saharan Africa,1990,45-49 years,Both,"7,139",105.8,"281,001","4,165.40","34,752",515.1,"315,753","4,680.60"
Tuberculosis,Eastern sub-Saharan Africa,1990,50-54 years,Male,"5,449",204.9,"188,876","7,103.60","15,500",582.9,"204,376","7,686.50"
Tuberculosis,Eastern sub-Saharan Africa,1990,50-54 years,Female,"2,897",101.1,"100,401","3,503.00","9,577",334.1,"109,978","3,837.20"
Tuberculosis,Eastern sub-Saharan Africa,1990,50-54 years,Both,"8,346",151.1,"289,277","5,235.80","25,077",453.9,"314,354","5,689.60"
Tuberculosis,Eastern sub-Saharan Africa,1990,55-59 years,Male,"5,423",248.1,"162,925","7,453.10","15,287",699.3,"178,212","8,152.40"
Tuberculosis,Eastern sub-Saharan Africa,1990,55-59 years,Female,"2,820",118.1,"84,594","3,544.00","9,472",396.8,"94,066","3,940.80"
Tuberculosis,Eastern sub-Saharan Africa,1990,55-59 years,Both,"8,243",180.2,"247,519","5,412.70","24,758",541.4,"272,277","5,954.10"
Tuberculosis,Eastern sub-Saharan Africa,1990,60-64 years,Male,"5,354",316.7,"136,642","8,081.90","7,216",426.8,"143,858","8,508.70"
Tuberculosis,Eastern sub-Saharan Africa,1990,60-64 years,Female,"3,171",168.8,"80,783","4,299.90","4,696",249.9,"85,479","4,549.90"
Tuberculosis,Eastern sub-Saharan Africa,1990,60-64 years,Both,"8,525",238.8,"217,425","6,091.30","11,912",333.7,"229,337","6,425.00"
Tuberculosis,Eastern sub-Saharan Africa,1990,65-69 years,Male,"4,634",380.4,"97,845","8,032.30","7,063",579.8,"104,909","8,612.10"
Tuberculosis,Eastern sub-Saharan Africa,1990,65-69 years,Female,"3,152",227.2,"66,436","4,788.30","4,613",332.5,"71,050","5,120.80"
Tuberculosis,Eastern sub-Saharan Africa,1990,65-69 years,Both,"7,787",298.8,"164,282","6,304.90","11,677",448.1,"175,958","6,753.00"
Tuberculosis,Eastern sub-Saharan Africa,1990,70-74 years,Male,"3,550",448.3,"59,987","7,575.00","2,208",278.8,"62,194","7,853.80"
Tuberculosis,Eastern sub-Saharan Africa,1990,70-74 years,Female,"2,419",259.9,"40,807","4,384.70","1,513",162.6,"42,320","4,547.30"
Tuberculosis,Eastern sub-Saharan Africa,1990,70-74 years,Both,"5,969",346.5,"100,794","5,851.40","3,721",216,"104,514","6,067.40"
Tuberculosis,Eastern sub-Saharan Africa,1990,75-79 years,Male,"2,347",531.4,"30,430","6,889.00","2,158",488.6,"32,588","7,377.70"
Tuberculosis,Eastern sub-Saharan Africa,1990,75-79 years,Female,"1,677",305.8,"21,713","3,959.30","1,475",269,"23,188","4,228.20"
Tuberculosis,Eastern sub-Saharan Africa,1990,75-79 years,Both,"4,024",406.5,"52,143","5,266.30","3,633",367,"55,776","5,633.30"
Tuberculosis,Eastern sub-Saharan Africa,1990,80+ years,Male,"1,387",533.4,"10,864","4,177.40",429,165,"11,293","4,342.40"
Tuberculosis,Eastern sub-Saharan Africa,1990,80+ years,Female,950,256.5,"7,124","1,923.90",304,82.2,"7,428","2,006.10"
Tuberculosis,Eastern sub-Saharan Africa,1990,80+ years,Both,"2,337",370.7,"17,988","2,853.60",733,116.4,"18,721","2,970.00"
Tuberculosis,Eastern sub-Saharan Africa,1990,All ages,Male,"68,518",66.4,"3,178,910","3,078.60","199,695",193.4,"3,378,605","3,272.00"
Tuberculosis,Eastern sub-Saharan Africa,1990,All ages,Female,"46,919",44.7,"2,273,903","2,164.10","117,360",111.7,"2,391,263","2,275.80"
Tuberculosis,Eastern sub-Saharan Africa,1990,All ages,Both,"115,437",55.4,"5,452,813","2,617.30","317,055",152.2,"5,769,868","2,769.50"
Tuberculosis,Eastern sub-Saharan Africa,2005,0-6 days,Male,0,0,0,0,4,3.1,4,3.1
Tuberculosis,Eastern sub-Saharan Africa,2005,0-6 days,Female,0,0,0,0,2,1.4,2,1.4
Tuberculosis,Eastern sub-Saharan Africa,2005,0-6 days,Both,0,0,0,0,5,2.2,5,2.2
Tuberculosis,Eastern sub-Saharan Africa,2005,7-27 days,Male,0,0,0,0,11,3.1,11,3.1
Tuberculosis,Eastern sub-Saharan Africa,2005,7-27 days,Female,0,0,0,0,5,1.4,5,1.4
Tuberculosis,Eastern sub-Saharan Africa,2005,7-27 days,Both,0,0,0,0,15,2.3,15,2.3
Tuberculosis,Eastern sub-Saharan Africa,2005,28-364 days,Male,"3,145",58.5,"269,745","5,018.10",161,3,"269,906","5,021.10"
Tuberculosis,Eastern sub-Saharan Africa,2005,28-364 days,Female,"2,468",46.9,"211,742","4,024.10",71,1.4,"211,813","4,025.40"
Tuberculosis,Eastern sub-Saharan Africa,2005,28-364 days,Both,"5,613",52.8,"481,487","4,526.40",232,2.2,"481,719","4,528.60"
Tuberculosis,Eastern sub-Saharan Africa,2005,1-4 years,Male,"4,578",21.6,"384,102","1,814.70","2,417",11.4,"386,518","1,826.10"
Tuberculosis,Eastern sub-Saharan Africa,2005,1-4 years,Female,"2,878",13.8,"241,436","1,161.10","1,181",5.7,"242,616","1,166.80"
Tuberculosis,Eastern sub-Saharan Africa,2005,1-4 years,Both,"7,455",17.8,"625,538","1,490.80","3,597",8.6,"629,135","1,499.30"
Tuberculosis,Eastern sub-Saharan Africa,2005,5-9 years,Male,664,2.9,"52,356",230.6,"6,082",26.8,"58,439",257.4
Tuberculosis,Eastern sub-Saharan Africa,2005,5-9 years,Female,440,2,"34,691",154.5,"3,305",14.7,"37,995",169.2
Tuberculosis,Eastern sub-Saharan Africa,2005,5-9 years,Both,"1,105",2.4,"87,047",192.8,"9,387",20.8,"96,434",213.6
Tuberculosis,Eastern sub-Saharan Africa,2005,10-14 years,Male,473,2.4,"34,819",177,"8,603",43.7,"43,423",220.8
Tuberculosis,Eastern sub-Saharan Africa,2005,10-14 years,Female,504,2.6,"37,120",190.1,"5,020",25.7,"42,140",215.8
Tuberculosis,Eastern sub-Saharan Africa,2005,10-14 years,Both,976,2.5,"71,940",183.5,"13,623",34.8,"85,563",218.3
Tuberculosis,Eastern sub-Saharan Africa,2005,15-19 years,Male,"1,484",8.7,"101,821",595.4,"10,351",60.5,"112,171",655.9
Tuberculosis,Eastern sub-Saharan Africa,2005,15-19 years,Female,"2,003",11.8,"137,554",808,"6,591",38.7,"144,144",846.7
Tuberculosis,Eastern sub-Saharan Africa,2005,15-19 years,Both,"3,486",10.2,"239,374",701.4,"16,941",49.6,"256,316",751.1
